question_text,option_a,option_b,option_c,option_d,correct_answer,year,difficulty,topic_explanation,correct_explanation,wrong_explanations
"Solve for \(x\) in the quadratic equation \(2x^2 - 8x + 6 = 0\).",x = 1 or x = 3,x = -1 or x = -3,x = 2 or x = 4,x = 0 or x = 6,A,2024,medium,"Quadratic equations and factorization methods.","Dividing by 2 yields \(x^2 - 4x + 3 = 0\), factoring as \((x-1)(x-3) = 0\), giving \(x=1\) or \(x=3\).","Incorrect sign assignment during factoring leads to erroneous roots."
"Given the right-angled triangle in the image below, find the length of hypotenuse \(c\) when \(a = 6\text{ cm}\) and \(b = 8\text{ cm}\). <br/><img src='https://cbt.filloptech.com/assets/questions/math_triangle_pythagoras.png' alt='Right-angled triangle' style='max-width:280px;margin:8px 0;'/>",10 cm,14 cm,12 cm,100 cm,A,2024,easy,"Pythagorean theorem application in plane geometry.","By Pythagoras: \(c = \sqrt{a^2 + b^2} = \sqrt{6^2 + 8^2} = \sqrt{36 + 64} = \sqrt{100} = 10\text{ cm}\).","Adding lengths directly (\(6+8=14\)) is a common conceptual misconception."
"Evaluate the definite integral \(\int_{0}^{3} (3x^2 + 2x + 1) \, dx\).",39,27,33,45,A,2023,hard,"Calculus: Definite integration of polynomial expressions.","Integration yields \(\left[x^3 + x^2 + x\right]_0^3 = (27 + 9 + 3) - 0 = 39\).","Forgetting to integrate individual polynomial terms leads to lower values like 27."
"Find the derivative \(\frac{dy}{dx}\) of the function \(y = 4x^3 \cdot \sin(x)\).",12x^2 \sin(x) + 4x^3 \cos(x),12x^2 \cos(x),4x^3 \cos(x) - 12x^2 \sin(x),12x^2 \sin(x),A,2024,medium,"Calculus: Product rule for differentiation.","Product rule \(\frac{d}{dx}[u \cdot v] = u'v + uv'\) yields \(12x^2 \sin(x) + 4x^3 \cos(x)\).","Differentiating both factors separately without product rule is incorrect."
"Refer to the Venn diagram shown in the figure below. Calculate the cardinality \(|A \cap B|\). <br/><img src='https://cbt.filloptech.com/assets/questions/math_venn_sets.png' alt='Venn Diagram' style='max-width:280px;margin:8px 0;'/>",15,35,20,50,A,2023,medium,"Set theory: Intersection of sets.","The central overlapping region of the Venn diagram contains 15 elements.","Selecting total element sum across both sets confuses union with intersection."
"Calculate the sum to infinity \(S_\infty\) of the geometric progression \(16, 8, 4, 2, \dots\).",32,16,64,30,A,2024,medium,"Sequences and Series: Geometric Progression (GP).","First term \(a = 16\), common ratio \(r = 0.5\). \(S_\infty = \frac{a}{1 - r} = \frac{16}{0.5} = 32\).","Multiplying by common ratio instead of dividing yields 16."
"In the circle geometry diagram provided below, find the inscribed angle \(\theta = \angle ACB\) subtended by arc \(AB\) if central angle \(\angle AOB = 110^\circ\). <br/><img src='https://cbt.filloptech.com/assets/questions/math_circle_angles.png' alt='Circle Theorem Angle' style='max-width:280px;margin:8px 0;'/>",55°,110°,220°,70°,A,2022,easy,"Circle Theorems: Angle at center is twice angle at circumference.","Angle at circumference is half the central angle: \(\theta = \frac{110^\circ}{2} = 55^\circ\).","Assuming central angle equals circumference angle leads to 110°."
"Simplify the logarithmic expression \(\log_2(32) + \log_3(27) - \log_5(25)\).",6,5,8,4,A,2024,easy,"Logarithms and Exponents.","\(\log_2(32) = 5\), \(\log_3(27) = 3\), \(\log_5(25) = 2\). Result: \(5 + 3 - 2 = 6\).","Errors in calculating powers of bases lead to values like 5 or 8."
"Find the inverse matrix \(A^{-1}\) of matrix \(A = \begin{pmatrix} 4 & 2 \\ 3 & 2 \end{pmatrix}\).",\begin{pmatrix} 1 & -1 \\ -1.5 & 2 \end{pmatrix},\begin{pmatrix} 2 & -2 \\ -3 & 4 \end{pmatrix},\begin{pmatrix} 4 & 3 \\ 2 & 2 \end{pmatrix},\begin{pmatrix} 1 & 0 \\ 0 & 1 \end{pmatrix},A,2023,hard,"Linear Algebra: Matrix Inversion.","Determinant \(\det(A) = 4(2) - 2(3) = 2\). Inverse \(A^{-1} = \frac{1}{2}\begin{pmatrix} 2 & -2 \\ -3 & 4 \end{pmatrix} = \begin{pmatrix} 1 & -1 \\ -1.5 & 2 \end{pmatrix}\).","Forgetting to divide adjugate matrix by determinant."
"Determine the standard deviation \(\sigma\) for the sample dataset: \(2, 4, 4, 4, 5, 5, 7, 9\).",2.0,4.0,1.5,3.2,A,2024,medium,"Statistics: Measures of dispersion and standard deviation.","Mean \(\mu = 5.0\). Variance \(\sigma^2 = \frac{32}{8} = 4.0\). Standard deviation \(\sigma = \sqrt{4.0} = 2.0\).","Confusing variance (4.0) with standard deviation (2.0)."
